,Unnamed: 0,date,webUrl,headline,sectionName,platform,bodyText,article_length,author_name,neg,neu,pos,sentiment
0,0,01/31/2015,https://www.cnn.com/2015/01/31/us/dachshund-pit-bull-mix/index.html,Meet Rami: Part dachshund … part pit bull?,US,CNN,"What if a dachshund and a pit bull got together? That’s the way the joke would open, pairing the most unlikely of canine partners – the short legged, long bodied dachshund with the larger, stronger pit bull. But  Rami is proof that the match has happened. “It is a true pit bull head on a dachshund body,” said Dawn Blanton of the Moultrie-Colquitt County Humane Society in south Georgia. A man found the dog, now named Rami, wandering in his backyard. He called the shelter and described him as a “pit bull with short legs,”  Blanton told CNN affiliate WALB. Local animal control officials confirmed that Rami is a dachshund/pit bull mix. “Hi! I’m Rami and I’m looking for my forever home. I’m full of energy. I don’t like walking on a leash,” reads a posting on the animal shelter’s Facebook page. ” I’m a sweetie pie, and love to run. I don’t listen very well, so you’ll need to take some time to train me. Because I tend to be a bit hyper, I might not be the best addition to a household with little kids. But I’m sure that all I need is a little lovin.” And with that posting and others, Rami has become a social media sensation. “We posted a photo of him when he became available. And within a day it went to 1 million hits. And by that night it was up to 2 million. And now it is over 2.4 million hits,” Blanton said. Humane society workers are taking their time to pick his new owner because they don’t want him to become a freak show. “It will be a pretty tough test for people that are wanting this dog. They’re going to have to answer questions, we’re going to do follow-up inspections on him,” said Don Flowers, also of the Humane Society. The Humane Society is hoping Rami’s newfound star status will bring attention to other animals on the county’s Facebook page – there are dogs Brutus and Oreo, as well as Loki and Mari the cats, along with others. Rami, who is fully grown at 25 pounds, is neutered. He is expected to be adopted by next week. Man reunites with stolen dog during search for new pet",2014,Andreas Preuss,0.035,0.865,0.1,0.9778
1,1,01/31/2015,https://www.cnn.com/2015/01/30/us/ohio-execution-drugs/index.html,Ohio to delay 7 executions while searching for new drugs,US,CNN,"Ohio will delay the executions of seven death row inmates while searching for an adequate supply of drugs that complies with its new execution protocol, the state’s Department of Rehabilitation and Correction said Friday. That means the state will not carry out any executions in 2015, the agency said in a press release. Ohio said in early January that it will add thiopental sodium, a drug the state used for lethal injections from 1999-2011, the department said. Thiopental sodium and pentobarbital will be the only drugs used. Ohio decided to stop using the two-drug regimen of midazolam and hydromorphone. That drug combination was last used in January 2014 on convicted murderer Dennis McGuire. Witnesses said he convulsed and gasped about 10 minutes before he died. The McGuire execution was closely watched because midazolam, a sedative, and hydromorphone, a painkiller, had never been used in a U.S. execution. Ohio, like many states, was forced to find new execution drugs after European-based manufacturers banned U.S. prisons from using their drugs in executions – among them, Danish-based Lundbeck, which manufactures pentobarbital. The executions of Ronald R. Phillips, Raymond Tibbetts, Gregory Lott, Warren K. Henness, William Montgomery, Robert Van Hook and Jeffrey A. Wogenstahl were rescheduled, according to the state.",1338,Ralph Ellis,0.101,0.879,0.02,-0.9595
2,2,01/30/2015,https://www.cnn.com/2015/01/30/us/nfl-commissioner-goodell/index.html,NFL Commissioner Goodell: ‘It’s been a tough year’,US,CNN,"NFL Commissioner Roger Goodell acknowledged Friday that “it’s been a tough year” for him and his league after months’ worth of news about everything from allegedly abusive players to ongoing concerns about concussions to deflated footballs. But it was also one, he insisted, marked by significant progress on several fronts. “We’ve all done a lot of soul-searching, starting with yours truly,” Goodell said. “And we have taken action.” The commissioner made these remarks during his “state of the league,” given each season on the eve of the Super Bowl. This Sunday’s matchup is between the New England Patriots and Seattle Seahawks. The NFL is the most popular professional sport in the United States, which makes the spotlight on it that much brighter. On Friday, Goodell touched on a number of subjects, from instant replay to extra points to a possible franchise in Los Angeles. But he couldn’t get away from issues that have dogged his office – chief among them how the NFL handles allegations of domestic violence by players. Goodell said the NFL wasn’t where it needed to be in August, when then-Baltimore Ravens running back Ray Rice became the center of controversy after video surfaced showing him hitting his then-fiancée. This case came on top of several others – from child abuse accusations against Minnesota Vikings running back Adrian Peterson to an assault case against Carolina Panthers defensive star Greg Hardy – that had some demanding that the commissioner resign. He gave no indication Friday he would do any such thing, even after what he called “a year of … humility and learning.” “We obviously as an organization have gone through adversity, but more importantly it’s been adversity for me,” Goodell said. “And that is something where we take that seriously. It’s an opportunity for us to get better. It’s an opportunity for us, for our organization, to get better.” For the first time, the commissioner also addressed what’s been dubbed Deflategate, which relates to the use of underinflated footballs in the first half of the New England Patriots’ AFC Championship win over the Indianapolis Colts. As information leaked out about the situation, some suggested strict punishments for New England – from large fines to suspensions to kicking the team out of the Super Bowl. But the Patriots have fired back, with coach Bill Belichick denying wrongdoing and suggesting science could explain the air pressure issue and owner Bob Kraft suggesting the NFL may owe Belichick and Patriots quarterback Tom Brady an apology if its investigation finds no wrongdoing. What the heck is Deflategate anyway? The commissioner made no apologies Friday for the league’s handling of the case, saying, “This is my responsibility to protect the integrity of the game.” He’s tapped Ted Wells to lead an external investigation into the issue. “I represent 32 teams,” he added. “… And if we have any information where the potential is that those rules were violated, I have to pursue that, and I have to pursue that aggressively.” That investigation is focusing on two main questions, according to Goodell: “Why were some footballs used in the game that were not in compliance with the rules, and was this result of deliberate action?” He added, “I want to emphasize – we have made no judgments on these points. And we will not compromise the investigation by engaging in speculation.”",3390,Greg Botelho,0.108,0.776,0.116,0.5005
3,3,01/30/2015,https://www.cnn.com/2015/01/29/us/dog-reunion-canada/index.html,Man reunites with stolen dog during search for new pet,US,CNN,"Deciding to move on after his beloved German shepherd was stolen from his backyard 18 months ago wasn’t easy for Richard Brower. “I never gave up hope,” Brower said, “I’d just come to the realization that I couldn’t go on without another dog.” He’d enlisted the help of his motorcycle-riding buddies and nearly everyone from the dog park in the search.  Anyone seen walking a German shepherd had been, at one time, accosted by him or his friends.  His searches were fruitless. “It was heartbreaking,” Brower said.  “Absolutely horrible.” His heart-wrenching decision to search for a new dog – made after a year-and-a-half of endless searching for Dozer – turned out to be the best decision he could’ve made, as it led him back to his best friend in a miraculous way. “It’s the closest thing to a miracle in my life,” he said. Brower typed “German shepherds for sale” into an Internet browser, which led him first to Claresholm Animal Rescue Society.  He clicked the link and shivers went down his spine. “My heart stopped,” Brower said,  “the second I opened the page.” Staring back at him on the rescue’s website was his dog, Dozer, the pup’s head cocked to the side, just as he remembered. Brower said he never doubted that it was his dog, but he sent the picture to his mom and sister for their opinion.  His sister agreed it was Dozer, but his mom was doubtful.  Brower said she was likely trying to save her son from unnecessary heartbreak, in case it wasn’t him. Brower called the shelter and reached Sylvia Giroux at Claresholm, Alberta.  While on the phone, Brower’s dad, returning home from a business trip, stopped at the shelter, unbeknownst to his son. Brower said Dozer immediately started wagging his tail when his father came into the room.  Still on the phone, Brower instructed his dad to snap his fingers once and then tell him what the dog did. He snapped and Dozer, a super well-trained dog who knows how to open and close doors and turn on lights, circled Brower’s dad and sat on his right hand side, waiting for his next command. “There was no boo-hooing, but it was close,” Giroux said, “It was just such a wonderful thing.” Giroux might’ve kept it together, but Brower said everyone else was a different story. “My dad was bawling, I was bawling on the phone,” he said. And when Dozer got home – there was more crying – from Dozer. “He almost knocked me over,” Brower said. “He came flying in, put his head into my arm and started doing that wailing that German shepherds do.” Other than his having lived at the shelter for a month after he was picked up by a resident nearby, Brower doesn’t know much about Dozer’s whereabouts during the 18 months he was missing.  He’s just thrilled to have his pup, who he calls a “big sweet baby,” back at home, back to normal. Normal, except for at the dog park, where families used to steer clear of the 125-pound pooch. “Now that he’s a celebrity, everyone wants to hug him,” Brower said. Dog rides bus to dog park",2978,Stephanie Gallman,0.039,0.859,0.102,0.9861
4,4,01/30/2015,https://www.cnn.com/2015/01/30/us/teen-sex-assault/index.html,"5 teens charged in sex assault on high school girl, Colorado police say",US,CNN,"The Englewood, Colorado, school system is urging parents to talk with their children after a sexual assault case involving several students. Five teenage males have been arrested, four of them juveniles who attend public schools in the Denver suburb of about 30,000 people, police said. The girl who said she was assaulted is an Englewood High School freshman, school district spokeswoman Julie McGinley said. Police said they’re looking for a sixth juvenile who also goes to Englewood schools. The teenage girl reported being sexually assaulted January 25 at a house party involving alcohol and marijuana that was attended by 10-12 people, Englewood police said. “If your student was at this party, knows someone who was there, or knows of students who have been affected by this event, we have counselors and other trusted adults should they need support or need to share their feelings,” Superintendent Brian Ewert said in a letter sent to parents. “We also ask that you be available to listen to your student and talk to him or her about his or her feelings regarding this event.” Police identified only one suspect, Daylon Benjamin Hill, 19, of Englewood. He was charged with five counts, including sexual assault and sex assault on a child. He is being held on $50,000 bond. Police didn’t identify the others because they are juveniles. Of those, two are 16 years old and two are 15 years old. Officers started looking for the girl late Sunday night after taking a missing juvenile report, police said. About the same time, other officers contacted the girl after she called relatives to say she had been sexually assaulted, police said. A medical examination revealed “significant trauma consistent with sexual assault,” according to a statement attached to Hill’s arrest warrant",1786,Ana Cabrera,0.115,0.842,0.042,-0.9715
5,5,01/30/2015,https://www.cnn.com/2015/01/30/us/los-angeles-sheriff-video-surviving-mass-shooting/index.html,So stark it seems real: sheriff’s video shows how to survive a mass shooting,US,CNN,"A stark re-enactment of a gunman in a mass killing is depicted in a new video by the Los Angeles County Sheriff’s Department that says it’s trying “to increase the odds for survival” for innocent bystanders. The video of three gunman scenarios is so vivid that the authorities posted an online advisory of how “this video contains graphic content of a violent nature. Viewer discretion is advised,” the sheriff’s office said. The more-than-nine-minute video shows what appears to be blood splatter, actors being shot, and the gunman committing suicide when confronted by a tactical team in a classroom with cowering students. The “Surviving An Active Shooter” video took two years to produce and shows three vignettes inspired by true life events, according to the sheriff’s department. The sheriff’s office didn’t specify those events. Mass shootings are typically over after 15 minutes or so, and most of them end before police arrive. “Unlike other videos that are seen on YouTube and other social media websites, the goal of this LASD video presentation is to illustrate very realistic portrayals of these rare, but violent attacks,” the sheriff’s office said. “LASD’s use of special effects and realistic scenarios draw the viewer’s attention to personally connect with the true life portrayals,” the agency said. The video provides advice and guidance to civilians on how to save their lives and those of others through “cover and concealment, location awareness, and self-defense.”",1488,Michael Martinez,0.057,0.859,0.085,0.6428
6,6,01/29/2015,https://www.cnn.com/2015/01/28/us/body-parts-suitcase/index.html,Body parts found in suitcase left on San Francisco sidewalk,US,CNN,"Police answering a suspicious package call in San Francisco made a most unpleasant discovery when they opened a suitcase and found it contained human body parts. The San Francisco medical examiner’s office determined the parts were human remains and the body had been dismembered, Officer Grace Gatpandan said. “We do have people of interest that homicide investigators are speaking to,” she said. Detectives are also reviewing surveillance camera footage and officers are looking for a suspect. She declined to identify the suspect. The suitcase was found Wednesday afternoon on 11th Street in the Mission District. Police closed four blocks while they investigated. The Los Angeles Times reported that remains were also found at three locations within a three-block radius. Asked about the reporting, a police spokeswoman told CNN there are no updates. There were other items around the suitcase, Gatpandan said. The gender and age of the person were unclear, she said.",971,Steve Almasy,0.098,0.852,0.049,-0.7346
7,7,01/29/2015,https://www.cnn.com/2015/01/29/us/air-force-one/index.html,New Air Force One will carry a powerful legacy,US,CNN,"Imagine putting wings on the White House and getting it to fly around the world. It’s been done. That’s basically Air Force One in a nutshell. Now the Pentagon has announced the next generation of this world-class icon will be a military version of the 747-8. For nearly 30 years, the current jumbo jet Air Force One has been a customized version of the 747-200B. The newer 747-8 is longer and more efficient than its older brother. Why is a new one necessary? “It is time to upgrade,” Air Force Secretary Deborah Lee James said in a statement Wednesday. The difference between the civilian version and what the President will fly on: the commander in chief gets a plane that’s tricked out with top-of-the-line parts and backup systems. And a lot of technology that’s – well – classified. Related: What’s new about the 747-8? Let’s remind ourselves why the world is so fascinated with this flying technological marvel. For more than half a century, passengers aboard the U.S. presidential aircraft have been witness to American history. Consider the fact that all these things happened on an Air Force One: – President Kennedy’s body was flown to Washington for burial. – Lyndon Johnson was sworn in as president. – LBJ let a reporter interview him in the plane’s stateroom, while dressed only in a towel. – The only woman ever to swear-in a U.S. president did so aboard Air Force One. – President Richard Nixon became the first American president to visit China, where he historically opened the door to U.S.-Chinese relations. – Air Force One served as President George W. Bush’s command center during the first hours following the 9/11 attacks. One of the main goals for the new plane, the Air Force said, will be affordability. Although the plane is designed to be more fuel efficient than its predecessor a new 747-8 lists for around $368 million. Add all the presidential bells and whistles and the sticker price goes north rather quickly. The 747-8 is made in the U.S., which the Air Forced hinted was a plus. “The Boeing 747-8 is the only aircraft manufactured in the United States (that), when fully missionized, meets the necessary capabilities,” Wednesday’s statement said. The four-engine Airbus A380 – the world’s largest airliner – which is made in France, was thought by some to be Boeing’s only competition for Air Force One. When will the President get a new jumbo jet? Hard to say. If everything goes smoothly, Boeing likely will work with the Air Force on hammering out a timeframe and production schedule. In December, Boeing had 36 unfilled orders for 24 passenger versions and 12 freighter models. From humble beginnings as a small, less than impressively outfitted plane during the FDR administration, to its current jumbo jet status, Air Force One has become a world-class icon representing power and privilege. Members of Congress, celebrities and advocates clamor for seats on it, to get rare access to the President – arguably the most powerful person on the planet. The plane’s well-known blue and white color scheme was largely created by legendary industrial designer Raymond Loewy and approved by JFK himself. Officially, the aircraft is only called Air Force One while a sitting president is aboard. The presidential fleet includes several aircraft, other than the two 747s, that from time to time carry the “Air Force One” call sign. The presidential helicopter is operated by the Marine Corps and is often seen ferrying the President to and from the South Lawn of the White House. It’s called “Marine One.” On the rare occasion the President travels by Army aircraft, that is known as “Army One.” By the same logic, aircraft used to carry the vice president are given the call sign “Air Force Two.” Over the years, the various “Air Force Ones” have had their fair share of Hollywood screen roles. For example, the technological wizardry onboard the present 747s got wide play in the 1997 Harrison Ford action movie “Air Force One,” in which the President’s jet is hijacked by Russian nationalists. However, many of the more outlandish gizmos featured in the film owed more to, shall we say, artistic license than to airborne fact. The plane for example has no escape pod. Nor is it equipped with parachutes – the massive slipstream created by an aircraft the size of a 747 means they can’t be used. Designed to operate as independently as possible from ground services, the aircraft can fly halfway around the world without refueling. They carry their own automated baggage loaders as well as built-in front and aft stairs enabling them to operate self-sufficiently at airports and airfields around the world, minimizing security risks. Capable of in-flight refueling from airborne tankers, manufacturers say the aircraft has “virtually unlimited range” – its passengers sustained by galleys capable of storing up to 2,000 meals at a time. The entire aircraft is shielded against the effects of electromagnetic pulse – a wave of energy generated by the detonation of a nuclear device that can disable unprotected electronics. It  features private accommodation, office space and a workout room for the President, first lady and family; as well as accommodation and offices for support staff and security personnel. Also on board is a stateroom and conference rooms that can, should it ever be necessary, be converted into a fully functional airborne medical center.",5399,Thom Patterson,0.018,0.915,0.067,0.9906
8,8,01/29/2015,https://www.cnn.com/2015/01/29/us/united-emergency-landing/index.html,United passengers describe tense emergency landing,US,CNN,"Passengers described on social media a scary landing Thursday morning after a United Airlines flight over California had an in-flight emergency. United Flight 1181, a Boeing 757 that was flying from Los Angeles to Washington, had to divert to Ontario International Airport, said Ian Gregor, a spokesman for the Federal Aviation Administration. The flight, with 199 passengers and seven crew members, landed safely. “We had to make an emergency landing in Ontario CA today after we smelled smoke and they discovered a small fire in the fuselage,” said Instagram user Todd Palmerton, a passenger on the plane. “Our pilot was incredible, but it’s pretty nerve racking having to text your wife that you love her while the pilot flys a 777 like its a navy fighter jet.” Another passenger, Allen Hill wrote on Facebook that there was a “slight smell of smoke inside and a hot spot detected in the fuselage from the exterior.” Hill said the Ontario fire department had to hose down the airliner’s brakes, which overheated during the fast, hard landing. Twitter user Mitchell Hashimoto also praised the pilot, saying the captain handled the emergency “super fast and professionally.” The plane was at about 28,400 feet when it began its descent, which actually took about 15 minutes, according to the flight tracking website FlightAware. United didn’t confirm there was a fire on board, saying the plane diverted because of a burning smell. “Our maintenance team is reviewing the aircraft, and we’re working as quickly as possible to get our customers to Washington, D.C.,” the airline said. According to Hill’s Facebook page, passengers boarded the rescheduled flight to Dulles at 2:30 p.m. P.T. 2014: Passengers cry and pray as smoke-filled plane rattles to emergency landing",1769,Steve Almasy,0.08,0.82,0.1,0.8536
9,9,01/29/2015,https://www.cnn.com/2015/01/28/us/annapolis-fire/index.html,Dry Christmas tree fueled Annapolis mansion fire that killed 6,US,CNN,"An electrical failure ignited a dry,15-foot-tall Christmas tree in a fire that destroyed an Annapolis, Maryland, mansion, killing four children and their grandparents, Anne Arundel County fire officials said Wednesday. Technology executive Don Pyle; his wife, Sandra; and four grandchildren died in what Bureau of Alcohol, Tobacco, Firearms and Explosives agent Bill McMullan called “a tragic accident that occurred at the worst possible time while the Pyles and their grandchildren were sleeping.” “The involvement of the Christmas tree explains the heavy fire conditions,” Fire Chief  Allan Graves said at a news conference. The grandchildren have been identified as Alexis (Lexi) Boone, 8; Kaitlyn (Katie) Boone, 7; Charlotte Boone, 8; and Wesley (Wes) Boone, 6. They were the children of Sandra Pyle’s sons, Randy and Clint Boone. “While the explanation that has been shared with us today does not bring solace, it does start us down the long road to acceptance,” a statement Wednesday from the Boone and Pyle families said. “Our tragedy has touched many lives in many families, and, in different degrees, is shared by each of us.  Our hope is that our loss will raise awareness that this tragic event could happen to any family. “ The blaze started in the waterfront mansion’s great room, with 19-foot ceilings and connections to living and sleeping areas. It was fed by a towering Christmas tree that was cut about two months earlier, fire officials said. The tree was lit most of the time, officials said. “The fuel load from the Christmas tree itself is what created the significant amount of fire and heat to cause the fire to spread as quickly as it did,” Deputy Chief Scott Hoglander said. Authorities were alerted within minutes by a fire-alarm system monitored outside the home and a neighbor’s 911 call. The home, which was constructed before 2005 legislation requiring a sprinkler system, did not have the devices. “We’re very comfortable that this was an accidental fire,” Graves said. The medical examiner’s office positively identified the victims, officials said. Five bodies were recovered in the days after the fire; the final one on Monday. The children were visiting their grandparents for a sleepover because Monday was a school holiday, a family spokeswoman said. “We believe that life is about making memories.  As we work through our pain and loss, the memories we made with our family will sustain us,” the families’ statement said. Officials said they were still conducting tests to determine the exact sequence of events, but believe the fire was sparked by a faulty electrical outlet. Smoke detectors in homes are common but fire sprinklers are not, says the Federal Emergency Management Agency. Fire sprinklers reduce the death rate by 83%, property damage by 69% and firefighter injuries by 65%. Fires in homes are responsible for more than 80% of fire deaths in the United States, according to the agency. Christmas tree fires are three times more deadly than home fire in general, according to the National Fire Protection Association. Local and federal officials last week secured the structure and accessed the foundation of the 16,000-square-foot house. Cadaver dogs led them to the bodies, officials said. Authorities were initially treating the house as a crime scene. Officials said it is standard procedure for a case such as this and no evidence has been found to indicate suspicious activity. The house belonged to Pyle, chief operating officer for ScienceLogic, company spokesman Antonio Piraino said. The sheer size of the structure and the fact that three-fourths of the building had collapsed into the basement, with deep piles of  debris still smoldering days after the blaze, compounded the search, Anne Arundel County Fire Capt. Robert Howarth said. He led the investigation along with a team from the federal Bureau of Alcohol, Tobacco, Firearms and Explosives. “You’re looking at five standard houses put together,” he said Tuesday. “This is more of a commercial fire than it is a residential fire. There are a lot of businesses that aren’t 16,000 square feet. That adds to it.” Fire officials said they were alerted to the fire about 3:30 a.m. Monday. About 80 firefighters responded. The ATF national response team responded because the fire was deemed suspicious, Howarth said. The fire department said crews had difficulty putting out the fire because the house is secluded, apparently with no fire hydrants on the scene. Photos the fire department posted on Twitter showed hoses stretched for long distances. Davies said it took hours for fire department tanker trucks and a fire boat on an adjacent creek to bring the fire under control. Pyle’s company biography described him as an industry veteran who has held multiple CEO positions, with more than 25 years’ experience in information technology infrastructure software and hardware management.",4906,Ray Sanchez,0.153,0.813,0.034,-0.9983
